base	derivative	probability	sublexicon	[+front]	[+front,+rounded]	[+front,-rounded]	[+front,+high]	[+front,-high]	[+front,+low]	[+front,-low]	[-front]	[-front,+rounded]	[-front,-rounded]	[-front,+high]	[-front,-high]	[+rounded]	[+rounded,+high]	[+rounded,-high]	[-rounded]	[-rounded,+high]	[-rounded,-high]	[-rounded,+low]	[-rounded,-low]	[+high]	[-high]	[-high,-low]	[-low]	[+front]	[+front,+rounded]	[+front,-rounded]	[+front,+high]	[+front,-high]	[+front,+low]	[+front,-low]	[-front]	[-front,+rounded]	[-front,-rounded]	[-front,+high]	[-front,-high]	[+rounded]	[+rounded,+high]	[+rounded,-high]	[-rounded]	[-rounded,+high]	[-rounded,-high]	[-rounded,+low]	[-rounded,-low]	[+high]	[-high]	[-high,-low]	[-low]	F: Ident [front]	F: Ident [rounded]	F: Ident [low]	F: Ident [high]
p aa n u	p aa n u B	1	Insert [B] at -1	0	0	0	0	0	0	0	3	1	2	1	2	1	1	0	2	0	2	2	0	1	2	0	1	0	0	0	0	0	0	0	4	1	2	1	2	1	1	0	2	0	2	2	0	1	2	0	1	0	0	0	0
p u ss i	p u ss i B	1	Insert [B] at -1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	0	0	1	2	0	0	2	1	0	1	1	0	0	1	2	1	0	1	0	1	1	0	1	1	0	0	1	2	0	0	2	0	0	0	0
ui s t i n	ui s t i n B	1	Insert [B] at -1	2	0	2	2	0	0	2	1	1	0	1	0	1	1	0	2	2	0	0	2	3	0	0	3	2	0	2	2	0	0	2	2	1	0	1	0	1	1	0	2	2	0	0	2	3	0	0	3	0	0	0	0
k o r t s u	k o r t s u B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	2	0	1	1	2	1	1	0	0	0	0	0	1	1	1	2	0	0	0	0	0	0	0	3	2	0	1	1	2	1	1	0	0	0	0	0	1	1	1	2	0	0	0	0
s e pp o	s e pp o B	1	Insert [B] at -1	1	0	1	0	1	0	1	1	1	0	0	1	1	0	1	1	0	1	0	1	0	2	2	2	1	0	1	0	1	0	1	2	1	0	0	1	1	0	1	1	0	1	0	1	0	2	2	2	0	0	0	0
t au s t a	t au s t a B	1	Insert [B] at -1	0	0	0	0	0	0	0	3	1	2	1	2	1	1	0	2	0	2	2	0	1	2	0	1	0	0	0	0	0	0	0	4	1	2	1	2	1	1	0	2	0	2	2	0	1	2	0	1	0	0	0	0
m uo n a	m uo n a B	1	Insert [B] at -1	0	0	0	0	0	0	0	3	2	1	1	2	2	1	1	1	0	1	1	0	1	2	1	2	0	0	0	0	0	0	0	4	2	1	1	2	2	1	1	1	0	1	1	0	1	2	1	2	0	0	0	0
p i t k o	p i t k o B	1	Insert [B] at -1	1	0	1	1	0	0	1	1	1	0	0	1	1	0	1	1	1	0	0	1	1	1	1	2	1	0	1	1	0	0	1	2	1	0	0	1	1	0	1	1	1	0	0	1	1	1	1	2	0	0	0	0
t a h k o	t a h k o B	1	Insert [B] at -1	0	0	0	0	0	0	0	2	1	1	0	2	1	0	1	1	0	1	1	0	0	2	1	1	0	0	0	0	0	0	0	3	1	1	0	2	1	0	1	1	0	1	1	0	0	2	1	1	0	0	0	0
l u m e n	l u m e n B	1	Insert [B] at -1	1	0	1	0	1	0	1	1	1	0	1	0	1	1	0	1	0	1	0	1	1	1	1	2	1	0	1	0	1	0	1	2	1	0	1	0	1	1	0	1	0	1	0	1	1	1	1	2	0	0	0	0
l aa r i	l aa r i B	1	Insert [B] at -1	1	0	1	1	0	0	1	2	0	2	0	2	0	0	0	3	1	2	2	1	1	2	0	1	1	0	1	1	0	0	1	3	0	2	0	2	0	0	0	3	1	2	2	1	1	2	0	1	0	0	0	0
