symbol	long	syllabic	front	low	high	rounded	word_boundary	geminate	voiced	velar	coronal	labial	sonorant	continuant	glottal	lateral	trill	palatal	rounding	fronting	diphthong	raising	error
a	-	+	-	+	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
o	-	+	-	-	-	+	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
u	-	+	-	-	+	+	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ä	-	+	+	+	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e	-	+	+	-	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
i	-	+	+	-	+	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ö	-	+	+	-	-	+	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
y	-	+	+	-	+	+	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p	0	-	0	0	0	0	-	-	-	0	0	+	-	-	0	0	0	0	0	0	0	0	0
b	0	-	0	0	0	0	-	-	+	0	0	+	-	-	0	0	0	0	0	0	0	0	0
t	0	-	0	0	0	0	-	-	-	0	+	0	-	-	0	0	0	0	0	0	0	0	0
d	0	-	0	0	0	0	-	-	+	0	+	0	-	-	0	0	0	0	0	0	0	0	0
k	0	-	0	0	0	0	-	-	-	+	0	0	-	-	0	0	0	0	0	0	0	0	0
g	0	-	0	0	0	0	-	-	+	+	0	0	-	-	0	0	0	0	0	0	0	0	0
m	0	-	0	0	0	0	-	-	+	0	0	+	+	-	0	0	0	0	0	0	0	0	0
n	0	-	0	0	0	0	-	-	+	0	+	0	+	-	0	0	0	0	0	0	0	0	0
f	0	-	0	0	0	0	-	-	-	0	0	+	-	+	0	0	0	0	0	0	0	0	0
v	0	-	0	0	0	0	-	-	+	0	0	+	-	+	0	0	0	0	0	0	0	0	0
s	0	-	0	0	0	0	-	-	-	0	+	0	-	+	0	0	0	0	0	0	0	0	0
